标题,发表日期,作者,分类,链接,英文摘要,中文介绍
An index of effective number of variables for uncertainty and reliability analysis in model selection problems,2026-02-24,"Luca Martino, Eduardo Morgado, Roberto San Millán-Castillo","stat.ME, cs.CE, eess.SP, stat.CO",http://arxiv.org/abs/2602.21403v1,"An index of an effective number of variables (ENV) is introduced for model selection in nested models. This is the case, for instance, when we have to decide the order of a polynomial function or the number of bases in a nonlinear regression, choose the number of clusters in a clustering problem, or the number of features in a variable selection application (to name few examples). It is inspired by the idea of the maximum area under the curve (AUC). The interpretation of the ENV index is identical to the effective sample size (ESS) indices concerning a set of samples. The ENV index improves {drawbacks of} the elbow detectors described in the literature and introduces different confidence measures of the proposed solution. These novel measures can be also employed jointly with the use of different information criteria, such as the well-known AIC and BIC, or any other model selection procedures. Comparisons with classical and recent schemes are provided in different experiments involving real datasets. Related Matlab code is given.",该论文研究了模型选择相关的提出技术。为模型路由领域提供了创新性的技术方案。
An information-based model selection criterion for data-driven model discovery,2026-02-24,"Michael C Chung, Alen Zacharia, Juan Guan",q-bio.QM,http://arxiv.org/abs/2602.21393v1,"Data-driven model discovery (DDMD) algorithms are powerful tools for extracting interpretable symbolic models from data. However, identifying the model that best balances goodness-of-fit and sparsity is often a laborious process requiring user fine-tuning, is prone to overfitting, and results may significantly vary depending on model initialization and specific training procedure. Here, we present a sparse regression algorithm that automatically and adaptively generates candidate models, and uses a novel sample-length-scaling logarithmic information criterion (SLIC) to identify the best model from these candidates. We demonstrate that SLIC greatly outperforms other popular information criteria in extracting the correct model from the data of several nonlinear ordinary and partial differential equations. Then, we demonstrate SLIC's ability to discover interpretable models from experimental datasets in fluid dynamics and nanotechnology that generate new testable predictions.",该论文研究了最优模型相关的提出技术。为模型路由领域提供了创新性的技术方案。
Small Language Models for Privacy-Preserving Clinical Information Extraction in Low-Resource Languages,2026-02-24,"Mohammadreza Ghaffarzadeh-Esfahani, Nahid Yousefian, Ebrahim Heidari-Farsani, Ali Akbar Omidvarian, Sepehr Ghahraei, Atena Farangi, AmirBahador Boroumand","cs.CL, cs.AI, cs.LG",http://arxiv.org/abs/2602.21374v1,"Extracting clinical information from medical transcripts in low-resource languages remains a significant challenge in healthcare natural language processing (NLP). This study evaluates a two-step pipeline combining Aya-expanse-8B as a Persian-to-English translation model with five open-source small language models (SLMs) -- Qwen2.5-7B-Instruct, Llama-3.1-8B-Instruct, Llama-3.2-3B-Instruct, Qwen2.5-1.5B-Instruct, and Gemma-3-1B-it -- for binary extraction of 13 clinical features from 1,221 anonymized Persian transcripts collected at a cancer palliative care call center. Using a few-shot prompting strategy without fine-tuning, models were assessed on macro-averaged F1-score, Matthews Correlation Coefficient (MCC), sensitivity, and specificity to account for class imbalance. Qwen2.5-7B-Instruct achieved the highest overall performance (median macro-F1: 0.899; MCC: 0.797), while Gemma-3-1B-it showed the weakest results. Larger models (7B--8B parameters) consistently outperformed smaller counterparts in sensitivity and MCC. A bilingual analysis of Aya-expanse-8B revealed that translating Persian transcripts to English improved sensitivity, reduced missing outputs, and boosted metrics robust to class imbalance, though at the cost of slightly lower specificity and precision. Feature-level results showed reliable extraction of physiological symptoms across most models, whereas psychological complaints, administrative requests, and complex somatic features remained challenging. These findings establish a practical, privacy-preserving blueprint for deploying open-source SLMs in multilingual clinical NLP settings with limited infrastructure and annotation resources, and highlight the importance of jointly optimizing model scale and input language strategy for sensitive healthcare applications.",该论文研究了性能相关的自然语言技术。实验验证了该方法在性能指标上的显著改善。
Simulations of the 21cm emission line for upcoming large-scale HI galaxy surveys,2026-02-24,"Joël Mayor, Marta Spinelli, Gabriella De Lucia, Robert Yates, Alexandre Refregier, Fabio Fontanot, Lizhi Xie, Michaela Hirschmann","astro-ph.CO, astro-ph.GA",http://arxiv.org/abs/2602.21058v1,"Upcoming galaxy surveys with the SKA Observatory will detect neutral hydrogen (HI) across unprecedented volumes, and their scientific return will crucially depend on predictive models for HI observables. In this work, we present a framework to simulate the neutral hydrogen 21cm emission line in such large-scale HI galaxy surveys. This framework is developed as a modular layer that builds on semi-analytical models. In particular we use as bases the Galaxy Evolution and Assembly (GAEA) and L-Galaxies semi-analytical models, coupled to merger trees from the Millennium Simulation suite. We validate our framework against local Universe observations, demonstrating consistency with velocity functions, and generalised Tully-Fisher relations. Predictions based on GAEA and L-Galaxies exhibit mutual consistency despite the distinct underlying physical prescriptions. We construct mock galaxy catalogues that incorporate forward-modelled selection functions, inclination effects, and redshift broadening, reproducing the statistical distributions of HI-selected galaxies in the ALFALFA survey. Finally, we present redshift distribution forecasts for future SKA Observatory HI galaxy surveys. This framework offers a flexible tool for interpreting upcoming large-scale radio surveys and studying HI line observables as cosmological probes.",该论文研究了提出相关的开发技术。为模型路由领域提供了创新性的技术方案。
Sample-efficient evidence estimation of score based priors for model selection,2026-02-24,"Frederic Wang, Katherine L. Bouman","cs.LG, cs.CV, stat.ME",http://arxiv.org/abs/2602.20549v1,"The choice of prior is central to solving ill-posed imaging inverse problems, making it essential to select one consistent with the measurements $y$ to avoid severe bias. In Bayesian inverse problems, this could be achieved by evaluating the model evidence $p(y \mid M)$ under different models $M$ that specify the prior and then selecting the one with the highest value. Diffusion models are the state-of-the-art approach to solving inverse problems with a data-driven prior; however, directly computing the model evidence with respect to a diffusion prior is intractable. Furthermore, most existing model evidence estimators require either many pointwise evaluations of the unnormalized prior density or an accurate clean prior score. We propose \method, an estimator of the model evidence of a diffusion prior by integrating over the time-marginals of posterior sampling methods. Our method leverages the large amount of intermediate samples naturally obtained during the reverse diffusion sampling process to obtain an accurate estimation of the model evidence using only a handful of posterior samples (e.g., 20). We also demonstrate how to implement our estimator in tandem with recent diffusion posterior sampling methods. Empirically, our estimator matches the model evidence when it can be computed analytically, and it is able to both select the correct diffusion model prior and diagnose prior misfit under different highly ill-conditioned, non-linear inverse problems, including a real-world black hole imaging problem.",该论文研究了提出相关的实现技术。为模型路由领域提供了创新性的技术方案。
From Performance to Purpose: A Sociotechnical Taxonomy for Evaluating Large Language Model Utility,2026-02-24,"Gavin Levinson, Keith Feldman",cs.CL,http://arxiv.org/abs/2602.20513v1,"As large language models (LLMs) continue to improve at completing discrete tasks, they are being integrated into increasingly complex and diverse real-world systems. However, task-level success alone does not establish a model's fit for use in practice. In applied, high-stakes settings, LLM effectiveness is driven by a wider array of sociotechnical determinants that extend beyond conventional performance measures. Although a growing set of metrics capture many of these considerations, they are rarely organized in a way that supports consistent evaluation, leaving no unified taxonomy for assessing and comparing LLM utility across use cases. To address this gap, we introduce the Language Model Utility Taxonomy (LUX), a comprehensive framework that structures utility evaluation across four domains: performance, interaction, operations, and governance. Within each domain, LUX is organized hierarchically into thematically aligned dimensions and components, each grounded in metrics that enable quantitative comparison and alignment of model selection with intended use. In addition, an external dynamic web tool is provided to support exploration of the framework by connecting each component to a repository of relevant metrics (factors) for applied evaluation.",该工作提出了面向模型选择的大语言模型路由方法。实验验证了该方法在性能指标上的显著改善。
Constraining the Sub-Galactic Relationship Between Star Formation and the Hot Interstellar Medium in NGC 4254,2026-02-23,"Erik B. Monson, Bret D. Lehmer, Amirnezam Amiri, Karina Barboza, Ashley Barnes, Antara R. Basu-Zych, Daniel A. Dale, Sanskriti Das, Simthembile Dlamini, Simon C. O. Glover, Kathryn Kreckel, Laura A. Lopez, Sebastian Lopez, Smita Mathur, Hsi-An Pan, Jennifer A. Rodriguez, Karin M. Sandstrom, Sumit K. Sarbadhicary, Jiayi Sun, Thomas G. Williams",astro-ph.GA,http://arxiv.org/abs/2602.20397v1,"We investigate the relationship between star formation and X-ray emission from the hot interstellar medium (ISM) on $\sim$kpc scales in NGC 4254 (M99) by combining spatially resolved star formation histories (SFHs) and Bayesian X-ray spectral fitting. We measure sub-galactic star formation rates (SFR) by modeling spectrophotometric UV-IR data with flexible SFHs, and we produce point-source-subtracted maps of the diffuse X-ray emission using Chandra data. We extract and fit the spectra of 5 regions selected by their SFR density $Σ_{\rm SFR}$, deriving hot gas luminosities and plasma temperatures. We examine the sub-galactic $kT-Σ_{\rm SFR}$ and $L^{\rm gas}_X-Σ_{\rm SFR}$ scaling relations in NGC 4254, and compare to predictions from simple models of the feedback into the ISM from core collapse supernovae (CCSNe). The hot gas emission from NGC 4254 is consistent with thermalization of $\approx 40-50\%$ of the energy from CCSNe in the ISM, and mass-loading of the CCSNe ejecta which decreases as $Σ_{\rm SFR}^{-1/3}$. Our optimized model implies a temperature and X-ray production efficiency that scale as $kT = (0.72^{+0.26}_{-0.18}~{\rm keV}) Σ_{\rm SFR}^{0.34\pm0.10}$ and $η= (0.03^{+0.02}_{-0.01}) Σ_{\rm SFR}^{0.34\pm0.18}$, respectively, for $Σ_{\rm SFR} = 0.01-0.13~{\rm M_{\odot}~yr^{-1}~kpc^{-2}}$. We also compare the properties of the hot ISM to other ISM phases using data from the PHANGS program. The diffuse X-ray emission of a given region is on average 200 times fainter than the H$α$ emission, and we see evidence that the hot ISM is over-pressurized compared to the large-scale dynamical equilibrium pressure of the galaxy, consistent with expansion of the hot ISM into the ambient medium.",该论文研究了效率相关的优化技术。实验验证了该方法在性能指标上的显著改善。
The Sim-to-Real Gap in MRS Quantification: A Systematic Deep Learning Validation for GABA,2026-02-23,"Zien Ma, S. M. Shermer, Oktay Karakuş, Frank C. Langbein","eess.SP, cs.LG, q-bio.QM",http://arxiv.org/abs/2602.20289v1,"Magnetic resonance spectroscopy (MRS) is used to quantify metabolites in vivo and estimate biomarkers for conditions ranging from neurological disorders to cancers. Quantifying low-concentration metabolites such as GABA ($γ$-aminobutyric acid) is challenging due to low signal-to-noise ratio (SNR) and spectral overlap. We investigate and validate deep learning for quantifying complex, low-SNR, overlapping signals from MEGA-PRESS spectra, devise a convolutional neural network (CNN) and a Y-shaped autoencoder (YAE), and select the best models via Bayesian optimisation on 10,000 simulated spectra from slice-profile-aware MEGA-PRESS simulations. The selected models are trained on 100,000 simulated spectra. We validate their performance on 144 spectra from 112 experimental phantoms containing five metabolites of interest (GABA, Glu, Gln, NAA, Cr) with known ground truth concentrations across solution and gel series acquired at 3 T under varied bandwidths and implementations. These models are further assessed against the widely used LCModel quantification tool. On simulations, both models achieve near-perfect agreement (small MAEs; regression slopes $\approx 1.00$, $R^2 \approx 1.00$). On experimental phantom data, errors initially increased substantially. However, modelling variable linewidths in the training data significantly reduced this gap. The best augmented deep learning models achieved a mean MAE for GABA over all phantom spectra of 0.151 (YAE) and 0.160 (FCNN) in max-normalised relative concentrations, outperforming the conventional baseline LCModel (0.220). A sim-to-real gap remains, but physics-informed data augmentation substantially reduced it. Phantom ground truth is needed to judge whether a method will perform reliably on real data.",该论文研究了性能相关的最优模型技术。实验验证了该方法在性能指标上的显著改善。
Using Unsupervised Domain Adaptation Semantic Segmentation for Pulmonary Embolism Detection in Computed Tomography Pulmonary Angiogram (CTPA) Images,2026-02-23,"Wen-Liang Lin, Yun-Chien Cheng","eess.IV, cs.CV",http://arxiv.org/abs/2602.19891v1,"While deep learning has demonstrated considerable promise in computer-aided diagnosis for pulmonary embolism (PE), practical deployment in Computed Tomography Pulmonary Angiography (CTPA) is often hindered by ""domain shift"" and the prohibitive cost of expert annotations. To address these challenges, an unsupervised domain adaptation (UDA) framework is proposed, utilizing a Transformer backbone and a Mean-Teacher architecture for cross-center semantic segmentation. The primary focus is placed on enhancing pseudo-label reliability by learning deep structural information within the feature space. Specifically, three modules are integrated and designed for this task: (1) a Prototype Alignment (PA) mechanism to reduce category-level distribution discrepancies; (2) Global and Local Contrastive Learning (GLCL) to capture both pixel-level topological relationships and global semantic representations; and (3) an Attention-based Auxiliary Local Prediction (AALP) module designed to reinforce sensitivity to small PE lesions by automatically extracting high-information slices from Transformer attention maps. Experimental validation conducted on cross-center datasets (FUMPE and CAD-PE) demonstrates significant performance gains. In the FUMPE -> CAD-PE task, the IoU increased from 0.1152 to 0.4153, while the CAD-PE -> FUMPE task saw an improvement from 0.1705 to 0.4302. Furthermore, the proposed method achieved a 69.9% Dice score in the CT -> MRI cross-modality task on the MMWHS dataset without utilizing any target-domain labels for model selection, confirming its robustness and generalizability for diverse clinical environments.",该论文研究了模型选择相关的性能技术。实验验证了该方法在性能指标上的显著改善。
SafePickle: Robust and Generic ML Detection of Malicious Pickle-based ML Models,2026-02-23,"Hillel Ohayon, Daniel Gilkarov, Ran Dubin","cs.CR, cs.AI",http://arxiv.org/abs/2602.19818v1,"Model repositories such as Hugging Face increasingly distribute machine learning artifacts serialized with Python's pickle format, exposing users to remote code execution (RCE) risks during model loading. Recent defenses, such as PickleBall, rely on per-library policy synthesis that requires complex system setups and verified benign models, which limits scalability and generalization. In this work, we propose a lightweight, machine-learning-based scanner that detects malicious Pickle-based files without policy generation or code instrumentation. Our approach statically extracts structural and semantic features from Pickle bytecode and applies supervised and unsupervised models to classify files as benign or malicious. We construct and release a labeled dataset of 727 Pickle-based files from Hugging Face and evaluate our models on four datasets: our own, PickleBall (out-of-distribution), Hide-and-Seek (9 advanced evasive malicious models), and synthetic joblib files. Our method achieves 90.01% F1-score compared with 7.23%-62.75% achieved by the SOTA scanners (Modelscan, Fickling, ClamAV, VirusTotal) on our dataset. Furthermore, on the PickleBall data (OOD), it achieves 81.22% F1-score compared with 76.09% achieved by the PickleBall method, while remaining fully library-agnostic. Finally, we show that our method is the only one to correctly parse and classify 9/9 evasive Hide-and-Seek malicious models specially crafted to evade scanners. This demonstrates that data-driven detection can effectively and generically mitigate Pickle-based model file attacks.",该论文研究了机器学习相关的可扩展性技术。具有良好的可扩展性和实用性。
Model Selection in High-Dimensional Linear Regression using Boosting with Multiple Testing,2026-02-23,"George Kapetanios, Vasilis Sarafidis, Alexia Ventouri",econ.EM,http://arxiv.org/abs/2602.19705v1,"High-dimensional regression specification and analysis is a complex and active area of research in statistics, machine learning, and econometrics. This paper proposes a new approach, Boosting with Multiple Testing (BMT), which combines forward stepwise variable selection with the multiple testing framework of Chudik et al (2018). At each stage, the model is updated by adding only the most significant regressor conditional on those already included, while a family-wise multiple testing filter is applied to the remaining candidates. In this way, the method retains the strong screening properties of Chudik et al (2018) while operating in a less greedy manner with respect to proxy and noise variables. Using sharp probability inequalities for heterogeneous strongly mixing processes from Dendramis et al (2022), we show that BMT enjoys oracle type properties relative to an approximating model that includes all true signals and excludes pure noise variables: this model is selected with probability tending to one, and the resulting estimator achieves standard parametric rates for prediction error and coefficient estimation. Additional results establish conditions under which BMT recovers the exact true model and avoids selection of proxy signals. Monte Carlo experiments indicate that BMT performs very well relative to OCMT and Lasso type procedures, delivering higher model selection accuracy and smaller RMSE for the estimated coefficients, especially under strong multicollinearity of the regressors. Two empirical illustrations based on a large set of macro-financial indicators as covariates, show that BMT yields sparse, interpretable specifications with favourable out-of-sample performance.",该论文研究了模型选择相关的机器学习技术。实验验证了该方法在性能指标上的显著改善。
KnapSpec: Self-Speculative Decoding via Adaptive Layer Selection as a Knapsack Problem,2026-02-23,"Seongjin Cha, Gyuwan Kim, Dongsu Han, Tao Yang, Insu Han","cs.LG, cs.AI",http://arxiv.org/abs/2602.20217v1,"Self-speculative decoding (SSD) accelerates LLM inference by skipping layers to create an efficient draft model, yet existing methods often rely on static heuristics that ignore the dynamic computational overhead of attention in long-context scenarios. We propose KnapSpec, a training-free framework that reformulates draft model selection as a knapsack problem to maximize tokens-per-time throughput. By decoupling Attention and MLP layers and modeling their hardware-specific latencies as functions of context length, KnapSpec adaptively identifies optimal draft configurations on the fly via a parallel dynamic programming algorithm. Furthermore, we provide the first rigorous theoretical analysis establishing cosine similarity between hidden states as a mathematically sound proxy for the token acceptance rate. This foundation allows our method to maintain high drafting faithfulness while navigating the shifting bottlenecks of real-world hardware. Our experiments on Qwen3 and Llama3 demonstrate that KnapSpec consistently outperforms state-of-the-art SSD baselines, achieving up to 1.47x wall-clock speedup across various benchmarks. Our plug-and-play approach ensures high-speed inference for long sequences without requiring additional training or compromising the target model's output distribution.",该工作提出了面向模型选择的吞吐量路由方法。为模型路由领域提供了创新性的技术方案。
Can a Teenager Fool an AI? Evaluating Low-Cost Cosmetic Attacks on Age Estimation Systems,2026-02-23,"Xingyu Shen, Tommy Duong, Xiaodong An, Zengqi Zhao, Zebang Hu, Haoyu Hu, Ziyou Wang, Finn Guo, Simiao Ren","cs.CV, cs.CR, cs.LG",http://arxiv.org/abs/2602.19539v1,"Age estimation systems are increasingly deployed as gatekeepers for age-restricted online content, yet their robustness to cosmetic modifications has not been systematically evaluated. We investigate whether simple, household-accessible cosmetic changes, including beards, grey hair, makeup, and simulated wrinkles, can cause AI age estimators to classify minors as adults. To study this threat at scale without ethical concerns, we simulate these physical attacks on 329 facial images of individuals aged 10 to 21 using a VLM image editor (Gemini 2.5 Flash Image). We then evaluate eight models from our prior benchmark: five specialized architectures (MiVOLO, Custom-Best, Herosan, MiViaLab, DEX) and three vision-language models (Gemini 3 Flash, Gemini 2.5 Flash, GPT-5-Nano). We introduce the Attack Conversion Rate (ACR), defined as the fraction of images predicted as minor at baseline that flip to adult after attack, a population-agnostic metric that does not depend on the ratio of minors to adults in the test set. Our results reveal that a synthetic beard alone achieves 28 to 69 percent ACR across all eight models; combining all four attacks shifts predicted age by +7.7 years on average across all 329 subjects and reaches up to 83 percent ACR; and vision-language models exhibit lower ACR (59 to 71 percent) than specialized models (63 to 83 percent) under the full attack, although the ACR ranges overlap and the difference is not statistically tested. These findings highlight a critical vulnerability in deployed age-verification pipelines and call for adversarial robustness evaluation as a mandatory criterion for model selection.",该论文研究了模型选择相关的介绍技术。为模型路由领域提供了创新性的技术方案。
Beyond Accuracy: A Unified Random Matrix Theory Diagnostic Framework for Crash Classification Models,2026-02-23,"Ibne Farabi Shihab, Sanjeda Akter, Anuj Sharma","cs.LG, stat.ML",http://arxiv.org/abs/2602.19528v1,"Crash classification models in transportation safety are typically evaluated using accuracy, F1, or AUC, metrics that cannot reveal whether a model is silently overfitting. We introduce a spectral diagnostic framework grounded in Random Matrix Theory (RMT) and Heavy-Tailed Self-Regularization (HTSR) that spans the ML taxonomy: weight matrices for BERT/ALBERT/Qwen2.5, out-of-fold increment matrices for XGBoost/Random Forest, empirical Hessians for Logistic Regression, induced affinity matrices for Decision Trees, and Graph Laplacians for KNN. Evaluating nine model families on two Iowa DOT crash classification tasks (173,512 and 371,062 records respectively), we find that the power-law exponent $α$ provides a structural quality signal: well-regularized models consistently yield $α$ within $[2, 4]$ (mean $2.87 \pm 0.34$), while overfit variants show $α< 2$ or spectral collapse. We observe a strong rank correlation between $α$ and expert agreement (Spearman $ρ= 0.89$, $p < 0.001$), suggesting spectral quality captures model behaviors aligned with expert reasoning. We propose an $α$-based early stopping criterion and a spectral model selection protocol, and validate both against cross-validated F1 baselines. Sparse Lanczos approximations make the framework scalable to large datasets.",该论文研究了模型选择相关的准确率技术。实验验证了该方法在性能指标上的显著改善。
Classroom Final Exam: An Instructor-Tested Reasoning Benchmark,2026-02-23,"Chongyang Gao, Diji Yang, Shuyan Zhou, Xichen Yan, Luchuan Song, Shuo Li, Kezhen Chen","cs.AI, cs.CE, cs.CL, cs.CV",http://arxiv.org/abs/2602.19517v1,"We introduce \CFE{} (\textbf{C}lassroom \textbf{F}inal \textbf{E}xam), a multimodal benchmark for evaluating the reasoning capabilities of large language models across more than 20 STEM domains. \CFE{} is curated from repeatedly used, authentic university homework and exam problems, together with reference solutions provided by course instructors. \CFE{} presents a significant challenge even for frontier models: the newly released Gemini-3.1-pro-preview achieves an overall accuracy of 59.69\%, while the second-best model, Gemini-3-flash-preview, reaches 55.46\%, leaving considerable room for improvement. Beyond leaderboard results, we perform a diagnostic analysis by decomposing reference solutions into reasoning flows. We find that although frontier models can often answer intermediate sub-questions correctly, they struggle to reliably derive and maintain correct intermediate states throughout multi-step solutions. We further observe that model-generated solutions typically have more reasoning steps than those provided by the instructor, indicating suboptimal step efficiency and a higher risk of error accumulation. The data and code are available at https://github.com/Analogy-AI/CFE_Bench.",该论文研究了大语言模型相关的效率技术。实验验证了该方法在性能指标上的显著改善。
Less is More: Convergence Benefits of Fewer Data Weight Updates over Longer Horizon,2026-02-23,"Rudrajit Das, Neel Patel, Meisam Razaviyayn, Vahab Mirrokni","cs.LG, math.OC, stat.ML",http://arxiv.org/abs/2602.19510v1,"Data mixing--the strategic reweighting of training domains--is a critical component in training robust machine learning models. This problem is naturally formulated as a bilevel optimization task, where the outer loop optimizes domain weights to minimize validation loss, and the inner loop optimizes model parameters to minimize the weighted training loss. Classical bilevel optimization relies on hypergradients, which theoretically require the inner optimization to reach convergence. However, due to computational constraints, state-of-the-art methods use a finite, often small, number of inner update steps before updating the weights. The theoretical implications of this approximation are not well understood. In this work, we rigorously analyze the convergence behavior of data mixing with a finite number of inner steps $T$. We prove that the ""greedy"" practical approach of using $T=1$ can fail even in a simple quadratic example. Under a fixed parameter update budget $N$ and assuming the per-domain losses are strongly convex, we show that the optimal $T$ scales as $Θ(\log N)$ (resp., $Θ({(N \log N)}^{1/2})$) for the data mixing problem with access to full (resp., stochastic) gradients. We complement our theoretical results with proof-of-concept experiments.",该论文研究了机器学习相关的分析技术。为模型路由领域提供了创新性的技术方案。
Human-Guided Agentic AI for Multimodal Clinical Prediction: Lessons from the AgentDS Healthcare Benchmark,2026-02-23,"Lalitha Pranathi Pulavarthy, Raajitha Muthyala, Aravind V Kuruvikkattil, Zhenan Yin, Rashmita Kudamala, Saptarshi Purkayastha","cs.AI, cs.LG",http://arxiv.org/abs/2602.19502v1,"Agentic AI systems are increasingly capable of autonomous data science workflows, yet clinical prediction tasks demand domain expertise that purely automated approaches struggle to provide. We investigate how human guidance of agentic AI can improve multimodal clinical prediction, presenting our approach to all three AgentDS Healthcare benchmark challenges: 30-day hospital readmission prediction (Macro-F1 = 0.8986), emergency department cost forecasting (MAE = $465.13), and discharge readiness assessment (Macro-F1 = 0.7939). Across these tasks, human analysts directed the agentic workflow at key decision points, multimodal feature engineering from clinical notes, scanned PDF billing receipts, and time-series vital signs; task-appropriate model selection; and clinically informed validation strategies. Our approach ranked 5th overall in the healthcare domain, with a 3rd-place finish on the discharge readiness task. Ablation studies reveal that human-guided decisions compounded to a cumulative gain of +0.065 F1 over automated baselines, with multimodal feature extraction contributing the largest single improvement (+0.041 F1). We distill three generalizable lessons: (1) domain-informed feature engineering at each pipeline stage yields compounding gains that outperform extensive automated search; (2) multimodal data integration requires task-specific human judgment that no single extraction strategy generalizes across clinical text, PDFs, and time-series; and (3) deliberate ensemble diversity with clinically motivated model configurations outperforms random hyperparameter search. These findings offer practical guidance for teams deploying agentic AI in healthcare settings where interpretability, reproducibility, and clinical validity are essential.",该论文研究了模型选择相关的集成技术。为模型路由领域提供了创新性的技术方案。
OptiRepair: Closed-Loop Diagnosis and Repair of Supply Chain Optimization Models with LLM Agents,2026-02-23,"Ruicheng Ao, David Simchi-Levi, Xinshang Wang","cs.AI, cs.LG, math.OC",http://arxiv.org/abs/2602.19439v2,"Supply chain optimization models frequently become infeasible because of modeling errors. Diagnosis and repair require scarce OR expertise: analysts must interpret solver diagnostics, trace root causes across echelons, and fix formulations without sacrificing operational soundness. Whether AI agents can perform this task remains untested. We decompose this task into two phases: a domain-agnostic feasibility phase that iteratively repairs any LP using IIS-guided diagnosis, and a domain-specific validation phase that enforces five rationality checks grounded in inventory theory. We test 22 API models from seven families on 976 multi-echelon supply chain problems and train two 8B-parameter models with self-taught reasoning and solver-verified rewards. The trained models reach 81.7% Rational Recovery Rate (RRR) -- the fraction of problems resolved to both feasibility and operational rationality -- versus 42.2% for the best API model and 21.3% on average. The gap concentrates in Phase 1 repair, where API models average 27.6% recovery rate versus 97.2% for trained models. Two gaps separate current AI from reliable model repair: solver interaction, as API models restore only 27.6% of infeasible formulations; and operational rationale, as roughly one in four feasible repairs violate supply chain theory. Each gap requires a different intervention -- targeted training closes the solver interaction gap, while explicit specification as solver-verifiable checks closes the rationality gap. For organizations adopting AI in operational planning, formalizing what 'rational' means in their context is the higher-return investment.",该论文研究了模型相关的路由技术。为模型路由领域提供了创新性的技术方案。
Localized conformal model selection,2026-02-22,"Yuhao Wang, Tengyao Wang",stat.ME,http://arxiv.org/abs/2602.19284v1,"We propose a localized conformal model selection framework that integrates local adaptivity with post-selection validity for distribution-free prediction. By performing model selection symmetrically across calibration points using upper and lower surrogate intervals, we construct a data-dependent safe index set that contains the oracle model and preserves exchangeability. The resulting ensemble procedure retains exact finite-sample marginal coverage while adapting to spatial heterogeneity and model complexity. Simulations demonstrate substantial reductions in interval length compared to the best fixed model, especially in heterogeneous and low-noise settings.",该论文研究了模型选择相关的集成技术。为模型路由领域提供了创新性的技术方案。
Learning from Complexity: Exploring Dynamic Sample Pruning of Spatio-Temporal Training,2026-02-22,"Wei Chen, Junle Chen, Yuqian Wu, Yuxuan Liang, Xiaofang Zhou","cs.LG, cs.AI, stat.ML",http://arxiv.org/abs/2602.19113v1,"Spatio-temporal forecasting is fundamental to intelligent systems in transportation, climate science, and urban planning. However, training deep learning models on the massive, often redundant, datasets from these domains presents a significant computational bottleneck. Existing solutions typically focus on optimizing model architectures or optimizers, while overlooking the inherent inefficiency of the training data itself. This conventional approach of iterating over the entire static dataset each epoch wastes considerable resources on easy-to-learn or repetitive samples. In this paper, we explore a novel training-efficiency techniques, namely learning from complexity with dynamic sample pruning, ST-Prune, for spatio-temporal forecasting. Through dynamic sample pruning, we aim to intelligently identify the most informative samples based on the model's real-time learning state, thereby accelerating convergence and improving training efficiency. Extensive experiments conducted on real-world spatio-temporal datasets show that ST-Prune significantly accelerates the training speed while maintaining or even improving the model performance, and it also has scalability and universality.",该论文研究了性能相关的效率技术。实验验证了该方法在性能指标上的显著改善。
Effective Second-Harmonic Generation Coefficient and C-eigenvalue of Nonlinear Susceptibility Tensors,2026-02-22,"Die Xiao, Yisheng Song","math.OC, physics.optics",http://arxiv.org/abs/2602.18995v1,"The effective second-harmonic generation (SHG) coefficient is a crucial data that quantifies the efficiency of transforming fundamental frequency light into its second harmonic. With the help of the symmetry of nonlinear optical susceptibility tensors, we mainly discuss the computability of such a effective SHG coefficient in uniaxial crystals. For one thing, the calculation of effective SHG coefficient is converted into the optimization models with some geometric constraints by means of the peculiarity of fundamental frequency light. Secondly, the number of variables of such maximum models are cutted in half to $2$ to calculate it easier, and a comparison between the effective SHG coefficient and C-eigenvalue of susceptibility tensor is given also. Finally, some examples of typical crystal classes are presented to verify the correctness and broader applicabilities of the theoretical results.",该论文研究了效率相关的提出技术。实验验证了该方法在性能指标上的显著改善。
Optimal and Structure-Adaptive CATE Estimation with Kernel Ridge Regression,2026-02-21,Seok-Jin Kim,"stat.ME, math.ST, stat.ML",http://arxiv.org/abs/2602.18958v2,"We propose an optimal algorithm for estimating conditional average treatment effects (CATEs) when response functions lie in a reproducing kernel Hilbert space (RKHS). We study settings in which the contrast function is structurally simpler than the nuisance functions: (i) it lies in a lower-complexity RKHS with faster eigenvalue decay, (ii) it satisfies a source condition relative to the nuisance kernel, or (iii) it depends on a known low-dimensional covariate representation. We develop a unified two-stage kernel ridge regression (KRR) method that attains minimax rates governed by the complexity of the contrast function rather than the nuisance class, in terms of both sample size and overlap. We also show that a simple model-selection step over candidate contrast spaces and regularization levels yields an oracle inequality, enabling adaptation to unknown CATE regularity.",该论文研究了提出相关的开发技术。为模型路由领域提供了创新性的技术方案。
